topic,year,pubs,cites
Complex Systems and Decision Making,2003,1,0
Complex Systems and Decision Making,2011,3,1
Complex Systems and Decision Making,2012,1,1
Complex Systems and Time Series Analysis,2005,1,0
Complex Systems and Time Series Analysis,2018,1,11
Complex Systems and Time Series Analysis,2019,4,21
Complex Systems and Time Series Analysis,2020,1,18
Complex Systems and Time Series Analysis,2021,2,21
Complex Systems and Time Series Analysis,2023,1,0
Complex Systems and Time Series Analysis,2024,1,3
Composite Material Mechanics,2016,1,5
Composite Material Mechanics,2017,1,0
Composite Material Mechanics,2018,1,0
Composite Material Mechanics,2020,3,24
Composite Material Mechanics,2022,2,20
Composite Material Mechanics,2023,1,3
Composite Material Mechanics,2025,1,1
Composite Structure Analysis and Optimization,2011,2,56
Composite Structure Analysis and Optimization,2018,1,9
Composting and Vermicomposting Techniques,2023,1,4
"Computability, Logic, AI Algorithms",1997,1,0
Computational Drug Discovery Methods,2008,1,0
Computational Drug Discovery Methods,2013,3,25
Computational Drug Discovery Methods,2014,1,9
Computational Drug Discovery Methods,2018,1,3
Computational Drug Discovery Methods,2023,1,0
Computational Drug Discovery Methods,2024,1,0
Computational Fluid Dynamics and Aerodynamics,2001,1,0
Computational Fluid Dynamics and Aerodynamics,2018,2,31
Computational Fluid Dynamics and Aerodynamics,2020,1,10
Computational Fluid Dynamics and Aerodynamics,2022,1,26
Computational Fluid Dynamics and Aerodynamics,2023,2,19
Computational Geometry and Mesh Generation,2018,1,4
Computational Geometry and Mesh Generation,2022,1,0
Computational Physics and Python Applications,2017,1,0
Computational Physics and Python Applications,2021,1,0
Computational Physics and Python Applications,2024,1,3
Computer Graphics and Visualization Techniques,2012,1,0
Computer Graphics and Visualization Techniques,2020,1,3
Computer Graphics and Visualization Techniques,2024,1,1
Computer Science and Engineering,2014,1,0
Computer Science and Engineering,2024,1,0
Concrete and Cement Materials Research,2013,2,39
Concrete and Cement Materials Research,2014,2,12
Concrete and Cement Materials Research,2016,3,40
Concrete and Cement Materials Research,2017,2,44
Concrete and Cement Materials Research,2018,4,57
Concrete and Cement Materials Research,2019,5,128
Concrete and Cement Materials Research,2020,14,414
Concrete and Cement Materials Research,2021,11,300
Concrete and Cement Materials Research,2022,13,288
Concrete and Cement Materials Research,2023,19,164
Concrete and Cement Materials Research,2024,15,59
Concrete and Cement Materials Research,2025,13,17
Concrete Corrosion and Durability,2017,2,43
Concrete Corrosion and Durability,2020,3,116
Concrete Corrosion and Durability,2021,1,26
Concrete Corrosion and Durability,2022,4,181
Concrete Corrosion and Durability,2023,3,58
Concrete Corrosion and Durability,2024,1,17
Concrete Corrosion and Durability,2025,3,7
Conducting polymers and applications,2003,1,7
Conducting polymers and applications,2004,1,29
Conducting polymers and applications,2005,4,220
Conducting polymers and applications,2006,3,249
Conducting polymers and applications,2007,4,579
Conducting polymers and applications,2008,2,372
Conducting polymers and applications,2010,3,770
Conducting polymers and applications,2011,7,2234
Conducting polymers and applications,2012,7,265
Conducting polymers and applications,2013,4,197
Conducting polymers and applications,2014,1,69
Conducting polymers and applications,2016,1,103
Conducting polymers and applications,2017,2,8
Conducting polymers and applications,2018,1,64
Conducting polymers and applications,2020,2,133
Conducting polymers and applications,2021,1,0
Conducting polymers and applications,2023,1,1
Congenital Diaphragmatic Hernia Studies,2016,1,4
Congenital Diaphragmatic Hernia Studies,2017,2,27
Congenital Diaphragmatic Hernia Studies,2019,1,16
Congenital Ear and Nasal Anomalies,2013,1,16
Congenital gastrointestinal and neural anomalies,2024,1,0
"Conservation, Biodiversity, and Resource Management",2025,1,0
Constructed Wetlands for Wastewater Treatment,2017,1,2
Constructed Wetlands for Wastewater Treatment,2018,1,128
Constructed Wetlands for Wastewater Treatment,2022,1,3
Constructed Wetlands for Wastewater Treatment,2023,2,6
Construction Project Management and Performance,2003,1,0
Construction Project Management and Performance,2012,1,1
Consumer Packaging Perceptions and Trends,2002,1,0
Cooperative Communication and Network Coding,2023,1,1
Cooperative Communication and Network Coding,2024,1,4
Cooperative Communication and Network Coding,2025,1,1
Coordination Chemistry and Organometallics,2007,1,35
Coordination Chemistry and Organometallics,2014,2,37
Copper Interconnects and Reliability,2011,1,0
Copper-based nanomaterials and applications,2010,1,28
Copper-based nanomaterials and applications,2014,1,22
Copper-based nanomaterials and applications,2017,2,152
Copper-based nanomaterials and applications,2020,1,70
Copper-based nanomaterials and applications,2021,1,28
Copper-based nanomaterials and applications,2024,3,22
Copper-based nanomaterials and applications,2025,1,3
Coral and Marine Ecosystems Studies,2018,1,2
Coral and Marine Ecosystems Studies,2022,2,15
Coral and Marine Ecosystems Studies,2024,1,4
Coronary Artery Anomalies,2016,1,10
Corporate Social Responsibility Reporting,2011,1,1
Corrosion Behavior and Inhibition,2011,1,8
Corrosion Behavior and Inhibition,2014,1,19
Corrosion Behavior and Inhibition,2017,2,43
Corrosion Behavior and Inhibition,2018,3,93
Corrosion Behavior and Inhibition,2020,3,120
Corrosion Behavior and Inhibition,2021,5,69
Corrosion Behavior and Inhibition,2022,2,16
Corrosion Behavior and Inhibition,2023,5,73
Corrosion Behavior and Inhibition,2024,5,28
Corrosion Behavior and Inhibition,2025,4,7
Covalent Organic Framework Applications,2017,4,206
Covalent Organic Framework Applications,2019,4,276
Covalent Organic Framework Applications,2020,3,163
Covalent Organic Framework Applications,2021,3,89
Covalent Organic Framework Applications,2022,5,307
Covalent Organic Framework Applications,2023,3,43
Covalent Organic Framework Applications,2024,5,52
Covalent Organic Framework Applications,2025,3,6
COVID-19 and Mental Health,2025,1,1
COVID-19 diagnosis using AI,2022,1,27
COVID-19 epidemiological studies,2020,2,26
COVID-19 Pandemic Impacts,2020,1,8
"Crime, Deviance, and Social Control",2026,1,0
Criminal Law and Evidence,2009,1,0
Cryospheric studies and observations,2014,1,16
Cryospheric studies and observations,2016,1,0
Crystal Structures and Properties,2016,1,51
Crystal Structures and Properties,2020,4,0
Crystal Structures and Properties,2023,1,6
Crystal structures of chemical compounds,2016,1,17
Crystal structures of chemical compounds,2018,1,12
Crystal structures of chemical compounds,2019,1,15
Crystal structures of chemical compounds,2025,1,0
Crystallization and Solubility Studies,2006,6,0
Crystallization and Solubility Studies,2009,2,0
Crystallization and Solubility Studies,2011,2,0
Crystallization and Solubility Studies,2013,2,0
Crystallization and Solubility Studies,2014,1,47
Crystallization and Solubility Studies,2016,4,131
Crystallization and Solubility Studies,2017,3,0
Crystallization and Solubility Studies,2018,7,115
Crystallization and Solubility Studies,2019,10,93
Crystallization and Solubility Studies,2020,3,68
Crystallization and Solubility Studies,2021,6,29
Crystallization and Solubility Studies,2022,4,42
Crystallization and Solubility Studies,2023,1,15
Crystallization and Solubility Studies,2025,2,0
Crystallization and Solubility Studies,2026,1,0
Crystallography and molecular interactions,1999,1,10
Crystallography and molecular interactions,2000,2,16
Crystallography and molecular interactions,2006,1,0
Crystallography and molecular interactions,2013,2,0
Crystallography and molecular interactions,2016,3,42
Crystallography and molecular interactions,2017,1,0
Crystallography and molecular interactions,2018,1,12
Crystallography and molecular interactions,2019,2,40
Crystallography and molecular interactions,2020,1,22
Crystallography and molecular interactions,2023,1,80
Crystallography and Radiation Phenomena,2006,1,0
Crystallography and Radiation Phenomena,2022,1,13
Crystallography and Radiation Phenomena,2023,1,0
Cultural Heritage Materials Analysis,2019,1,4
Cultural Industries and Urban Development,2009,1,0
Cultural Industries and Urban Development,2017,1,0
Customer Service Quality and Loyalty,2008,1,0
Cyclone Separators and Fluid Dynamics,2018,1,5
Cyclone Separators and Fluid Dynamics,2019,1,1
Cyclone Separators and Fluid Dynamics,2021,1,58
Cyclopropane Reaction Mechanisms,2024,1,9
Cyclopropane Reaction Mechanisms,2026,1,0
Cytokine Signaling Pathways and Interactions,2008,1,95
Dam Engineering and Safety,2011,1,153
Dam Engineering and Safety,2018,3,13
Dam Engineering and Safety,2019,1,48
Dam Engineering and Safety,2020,1,12
Dam Engineering and Safety,2021,2,21
Dam Engineering and Safety,2022,3,20
Dam Engineering and Safety,2023,1,0
Data Management and Algorithms,2011,2,0
Data Stream Mining Techniques,2010,1,3
Data Stream Mining Techniques,2013,1,9
Data Stream Mining Techniques,2016,1,0
Data Visualization and Analytics,2017,1,1
Data-Driven Disease Surveillance,2024,1,16
Date Palm Research Studies,2018,1,3
Date Palm Research Studies,2023,1,1
Date Palm Research Studies,2024,1,5
Dendrimers and Hyperbranched Polymers,2022,1,8
Dendrimers and Hyperbranched Polymers,2025,1,1
Dental Implant Techniques and Outcomes,2013,1,23
Dental Implant Techniques and Outcomes,2022,1,3
Dental materials and restorations,2013,1,23
Dental materials and restorations,2014,1,10
Dental materials and restorations,2022,1,3
Dental Radiography and Imaging,2024,1,0
Design Education and Practice,2015,1,0
Diabetes Management and Research,2024,1,2
Diabetes Treatment and Management,2024,1,2
Diabetes Treatment and Management,2025,1,0
Diagnosis and treatment of tuberculosis,2025,1,0
Diamond and Carbon-based Materials Research,2016,1,9
Diamond and Carbon-based Materials Research,2021,1,6
Diamond and Carbon-based Materials Research,2023,1,16
Diamond and Carbon-based Materials Research,2024,1,0
Diatoms and Algae Research,2008,1,4
Diatoms and Algae Research,2020,1,1
Diatoms and Algae Research,2024,1,0
Dielectric materials and actuators,2018,1,37
Dielectric materials and actuators,2024,1,12
Differential Equations and Boundary Problems,2024,1,10
Differential Equations and Numerical Methods,2015,2,14
Differential Equations and Numerical Methods,2024,1,0
Differential Equations and Numerical Methods,2025,1,0
Digital Innovation in Industries,2017,1,0
Digital Media and Visual Art,2025,1,0
Digital Radiography and Breast Imaging,2024,1,0
Digital Rights Management and Security,2017,1,0
Digital Transformation in Industry,2020,1,0
Digital Transformation in Industry,2021,1,130
Direction-of-Arrival Estimation Techniques,2009,1,0
Disaster Response and Management,2018,1,0
Disaster Response and Management,2019,1,0
Disaster Response and Management,2021,1,4
Distributed and Parallel Computing Systems,2011,1,0
Distributed and Parallel Computing Systems,2012,1,0
Distributed and Parallel Computing Systems,2016,1,8
Diverse academic and cultural studies,2003,1,0
Diverse academic and cultural studies,2008,1,12
Diverticular Disease and Complications,2024,1,0
DNA and Nucleic Acid Chemistry,2005,1,84
DNA and Nucleic Acid Chemistry,2013,1,50
DNA and Nucleic Acid Chemistry,2018,1,74
Domain Adaptation and Few-Shot Learning,2012,1,67
Domain Adaptation and Few-Shot Learning,2022,1,27
Drilling and Well Engineering,1992,1,1
Drilling and Well Engineering,1993,2,32
Drilling and Well Engineering,1994,2,35
Drilling and Well Engineering,1997,3,10
Drilling and Well Engineering,2001,7,78
Drilling and Well Engineering,2002,3,17
Drilling and Well Engineering,2003,2,11
Drilling and Well Engineering,2005,2,3
Drilling and Well Engineering,2006,6,101
Drilling and Well Engineering,2007,3,10
Drilling and Well Engineering,2008,7,19
Drilling and Well Engineering,2009,5,109
Drilling and Well Engineering,2010,8,74
Drilling and Well Engineering,2011,13,258
Drilling and Well Engineering,2012,12,208
Drilling and Well Engineering,2013,14,262
Drilling and Well Engineering,2014,24,524
Drilling and Well Engineering,2015,23,447
Drilling and Well Engineering,2016,38,943
Drilling and Well Engineering,2017,51,1319
Drilling and Well Engineering,2018,75,1910
Drilling and Well Engineering,2019,117,2721
Drilling and Well Engineering,2020,146,2786
Drilling and Well Engineering,2021,154,3106
Drilling and Well Engineering,2022,109,1059
Drilling and Well Engineering,2023,146,1162
Drilling and Well Engineering,2024,113,477
Drilling and Well Engineering,2025,72,138
Drilling and Well Engineering,2026,8,0
Drug Solubulity and Delivery Systems,2000,1,0
Drug Solubulity and Delivery Systems,2021,1,30
Drug-Induced Adverse Reactions,2025,1,0
Dye analysis and toxicity,2004,1,16
Dye analysis and toxicity,2010,1,1
Dye analysis and toxicity,2017,1,135
Dye analysis and toxicity,2024,1,15
E-Government and Public Services,2016,1,0
E-Government and Public Services,2020,1,0
Earth Systems and Cosmic Evolution,2011,1,10
Earthquake and Disaster Impact Studies,2018,1,0
earthquake and tectonic studies,1983,1,85
earthquake and tectonic studies,1984,1,27
earthquake and tectonic studies,1985,3,16
earthquake and tectonic studies,1986,3,409
earthquake and tectonic studies,1987,2,119
earthquake and tectonic studies,1988,3,122
earthquake and tectonic studies,1989,2,40
earthquake and tectonic studies,1990,1,183
earthquake and tectonic studies,1991,1,116
earthquake and tectonic studies,1992,2,62
earthquake and tectonic studies,1993,3,422
earthquake and tectonic studies,1996,1,86
earthquake and tectonic studies,1998,1,57
earthquake and tectonic studies,1999,1,57
earthquake and tectonic studies,2000,1,67
earthquake and tectonic studies,2001,1,9
earthquake and tectonic studies,2004,1,26
earthquake and tectonic studies,2005,3,43
earthquake and tectonic studies,2006,4,243
earthquake and tectonic studies,2007,1,44
earthquake and tectonic studies,2008,6,214
earthquake and tectonic studies,2009,3,51
earthquake and tectonic studies,2010,3,129
earthquake and tectonic studies,2011,6,527
earthquake and tectonic studies,2012,8,644
earthquake and tectonic studies,2013,2,69
earthquake and tectonic studies,2014,5,319
earthquake and tectonic studies,2015,12,816
earthquake and tectonic studies,2016,4,86
earthquake and tectonic studies,2017,5,404
earthquake and tectonic studies,2018,19,421
earthquake and tectonic studies,2019,18,329
earthquake and tectonic studies,2020,23,464
earthquake and tectonic studies,2021,37,434
earthquake and tectonic studies,2022,30,228
earthquake and tectonic studies,2023,33,175
earthquake and tectonic studies,2024,24,68
earthquake and tectonic studies,2025,35,50
Earthquake Detection and Analysis,2005,1,0
Earthquake Detection and Analysis,2014,1,4
Earthquake Detection and Analysis,2015,2,7
Earthquake Detection and Analysis,2017,1,0
Earthquake Detection and Analysis,2018,2,0
Earthquake Detection and Analysis,2019,1,0
Earthquake Detection and Analysis,2020,3,5
Earthquake Detection and Analysis,2021,2,46
Earthquake Detection and Analysis,2022,2,1
Earthquake Detection and Analysis,2023,2,3
Earthquake Detection and Analysis,2024,2,13
Earthquake Detection and Analysis,2025,4,1
Echinoderm biology and ecology,2013,1,27
Economic Development and Digital Transformation,2011,1,8
Economic Growth and Development,2022,1,0
Economic Growth and Productivity,2005,1,0
Economic theories and models,2005,1,0
Edible Oils Quality and Analysis,2014,2,30
Edible Oils Quality and Analysis,2015,2,20
Education and Critical Thinking Development,2006,1,0
Education and Critical Thinking Development,2016,1,0
Education and Islamic Studies,1998,2,5
Education and Islamic Studies,1999,1,0
Education and Islamic Studies,2005,1,0
Education and Islamic Studies,2006,1,11
Education and Islamic Studies,2014,1,13
Education and Islamic Studies,2018,1,1
Education and Islamic Studies,2019,1,1
Education and Islamic Studies,2025,1,0
"Education, Healthcare and Sociology Research",2005,1,0
Educational Challenges and Innovations,2020,1,0
Educational Games and Gamification,2023,1,0
Educational Innovations and Challenges,2023,1,0
Educational Methods and Impacts,2020,1,3
EEG and Brain-Computer Interfaces,2020,1,9
EEG and Brain-Computer Interfaces,2025,1,0
Effects and risks of endocrine disrupting chemicals,2026,1,0
Elasticity and Material Modeling,2022,1,1
Elasticity and Wave Propagation,2002,1,73
Elasticity and Wave Propagation,2011,2,56
Elasticity and Wave Propagation,2022,1,1
Elasticity and Wave Propagation,2025,1,2
Electric and Hybrid Vehicle Technologies,2023,1,1
Electric Motor Design and Analysis,1985,1,8
Electric Motor Design and Analysis,2011,1,0
Electric Vehicles and Infrastructure,2023,1,1
Electrical and Bioimpedance Tomography,2018,1,81
Electrical and Bioimpedance Tomography,2022,1,6
Electrical and Bioimpedance Tomography,2024,1,1
Electrocatalysts for Energy Conversion,2002,1,9
Electrocatalysts for Energy Conversion,2007,1,297
Electrocatalysts for Energy Conversion,2009,1,29
Electrocatalysts for Energy Conversion,2010,2,61
Electrocatalysts for Energy Conversion,2013,1,47
Electrocatalysts for Energy Conversion,2014,1,22
Electrocatalysts for Energy Conversion,2018,1,13
Electrocatalysts for Energy Conversion,2020,2,110
Electrocatalysts for Energy Conversion,2021,2,18
Electrocatalysts for Energy Conversion,2022,1,2
Electrocatalysts for Energy Conversion,2023,2,29
Electrocatalysts for Energy Conversion,2024,1,4
Electrocatalysts for Energy Conversion,2025,2,4
Electrochemical Analysis and Applications,2005,1,36
Electrochemical Analysis and Applications,2007,1,98
Electrochemical Analysis and Applications,2009,2,13
Electrochemical Analysis and Applications,2010,1,1
Electrochemical Analysis and Applications,2011,1,10
Electrochemical Analysis and Applications,2012,1,1
Electrochemical Analysis and Applications,2013,2,18
Electrochemical Analysis and Applications,2014,3,150
Electrochemical Analysis and Applications,2015,3,134
Electrochemical Analysis and Applications,2016,2,5
Electrochemical Analysis and Applications,2017,1,1
Electrochemical Analysis and Applications,2018,3,0
Electrochemical Analysis and Applications,2019,4,97
Electrochemical Analysis and Applications,2020,2,69
Electrochemical Analysis and Applications,2022,3,46
Electrochemical Analysis and Applications,2023,2,21
Electrochemical Analysis and Applications,2024,2,2
Electrochemical Analysis and Applications,2025,1,3
Electrochemical sensors and biosensors,2007,1,98
Electrochemical sensors and biosensors,2010,1,1
Electrochemical sensors and biosensors,2012,1,1
Electrochemical sensors and biosensors,2013,1,18
Electrochemical sensors and biosensors,2016,2,40
Electrochemical sensors and biosensors,2017,1,5
Electrochemical sensors and biosensors,2020,2,3
Electrochemical sensors and biosensors,2021,1,1
Electrodeposition and Electroless Coatings,2023,1,40
Electrohydrodynamics and Fluid Dynamics,2005,1,12
Electrohydrodynamics and Fluid Dynamics,2011,1,19
Electrohydrodynamics and Fluid Dynamics,2012,2,57
Electrohydrodynamics and Fluid Dynamics,2020,1,71
Electrohydrodynamics and Fluid Dynamics,2021,1,58
Electrohydrodynamics and Fluid Dynamics,2022,2,121
Electrohydrodynamics and Fluid Dynamics,2023,1,21
Electrohydrodynamics and Fluid Dynamics,2024,2,13
Electrohydrodynamics and Fluid Dynamics,2025,4,5
Electrokinetic Soil Remediation Techniques,2017,2,4
Electrokinetic Soil Remediation Techniques,2020,1,10
Electrokinetic Soil Remediation Techniques,2023,1,5
Electrokinetic Soil Remediation Techniques,2025,2,4
Electromagnetic Launch and Propulsion Technology,2013,1,1
Electromagnetic Launch and Propulsion Technology,2025,1,0
Electromagnetic Scattering and Analysis,2014,1,5
Electromagnetic Scattering and Analysis,2021,1,1
Electromagnetic Scattering and Analysis,2025,1,0
Electromagnetic Simulation and Numerical Methods,2013,1,0
Electromagnetic Simulation and Numerical Methods,2018,1,1
Electromagnetic Simulation and Numerical Methods,2019,1,15
Electromagnetic Simulation and Numerical Methods,2021,1,1
Electromagnetic Simulation and Numerical Methods,2024,1,0
Electromagnetic Simulation and Numerical Methods,2025,1,0
Electromagnetic wave absorption materials,2015,1,13
Electron and X-Ray Spectroscopy Techniques,2002,2,19
Electron and X-Ray Spectroscopy Techniques,2005,1,12
Electron and X-Ray Spectroscopy Techniques,2011,1,16
Electron and X-Ray Spectroscopy Techniques,2012,1,0
Electron and X-Ray Spectroscopy Techniques,2015,3,1
Electron and X-Ray Spectroscopy Techniques,2016,1,25
Electron and X-Ray Spectroscopy Techniques,2018,1,0
Electron and X-Ray Spectroscopy Techniques,2019,1,11
Electron and X-Ray Spectroscopy Techniques,2020,1,19
Electron and X-Ray Spectroscopy Techniques,2023,1,0
Electron and X-Ray Spectroscopy Techniques,2025,1,0
Electron Spin Resonance Studies,2012,1,10
Electronic and Structural Properties of Oxides,2002,1,28
Electronic and Structural Properties of Oxides,2003,2,43
Electronic and Structural Properties of Oxides,2004,1,86
Electronic and Structural Properties of Oxides,2005,3,82
Electronic and Structural Properties of Oxides,2006,1,47
Electronic and Structural Properties of Oxides,2008,4,43
Electronic and Structural Properties of Oxides,2009,1,29
Electronic and Structural Properties of Oxides,2011,1,16
Electronic and Structural Properties of Oxides,2013,2,12
Electronic and Structural Properties of Oxides,2014,1,19
Electronic and Structural Properties of Oxides,2015,2,97
Electronic and Structural Properties of Oxides,2016,1,9
Electronic and Structural Properties of Oxides,2017,3,108
Electronic and Structural Properties of Oxides,2018,5,86
Electronic and Structural Properties of Oxides,2019,3,39
Electronic and Structural Properties of Oxides,2020,1,53
Electronic and Structural Properties of Oxides,2022,1,1
Electronic and Structural Properties of Oxides,2024,2,16
Electronic and Structural Properties of Oxides,2025,1,0
Electronic Health Records Systems,2024,1,6
Electronic Packaging and Soldering Technologies,2024,1,1
Electronic Packaging and Soldering Technologies,2025,1,2
Electrospun Nanofibers in Biomedical Applications,2012,1,22
Electrospun Nanofibers in Biomedical Applications,2019,2,47
Electrospun Nanofibers in Biomedical Applications,2020,3,208
Electrospun Nanofibers in Biomedical Applications,2021,2,92
Electrospun Nanofibers in Biomedical Applications,2022,2,138
Electrospun Nanofibers in Biomedical Applications,2024,3,20
Electrospun Nanofibers in Biomedical Applications,2025,1,3
Electrostatics and Colloid Interactions,2005,1,19
Electrostatics and Colloid Interactions,2008,1,0
Electrostatics and Colloid Interactions,2009,1,16
Electrostatics and Colloid Interactions,2014,1,210
Electrostatics and Colloid Interactions,2015,1,10
Electrostatics and Colloid Interactions,2017,1,14
Electrostatics and Colloid Interactions,2018,1,0
Electrostatics and Colloid Interactions,2020,1,30
Electrostatics and Colloid Interactions,2021,2,58
Electrostatics and Colloid Interactions,2022,1,1
Electrostatics and Colloid Interactions,2023,1,9
Electrostatics and Colloid Interactions,2025,1,0
Electrowetting and Microfluidic Technologies,2017,1,0
Electrowetting and Microfluidic Technologies,2023,1,0
Emotional Intelligence and Performance,2011,2,3
Empathy and Medical Education,2025,1,0
Endodontics and Root Canal Treatments,1986,1,1
Endodontics and Root Canal Treatments,2012,1,15
Endodontics and Root Canal Treatments,2019,1,98
Endodontics and Root Canal Treatments,2020,2,96
Endodontics and Root Canal Treatments,2021,3,225
Endodontics and Root Canal Treatments,2022,2,94
Endodontics and Root Canal Treatments,2023,2,24
Endodontics and Root Canal Treatments,2024,1,3
Endodontics and Root Canal Treatments,2025,1,0
Energy and Environment Impacts,2012,1,19
Energy and Environment Impacts,2017,2,140
Energy and Environment Impacts,2019,3,13
Energy and Environment Impacts,2021,2,29
Energy and Environment Impacts,2025,1,12
Energy Efficiency and Management,2001,1,0
Energy Efficiency and Management,2015,1,0
Energy Harvesting in Wireless Networks,2017,2,1
Energy Harvesting in Wireless Networks,2023,1,1
Energy Load and Power Forecasting,2021,1,10
Energy Load and Power Forecasting,2022,1,27
Energy Load and Power Forecasting,2023,1,0
Energy Load and Power Forecasting,2024,1,3
"Energy, Environment, and Transportation Policies",2010,1,41
"Energy, Environment, and Transportation Policies",2011,1,15
"Energy, Environment, and Transportation Policies",2017,2,112
"Energy, Environment, and Transportation Policies",2019,1,8
"Energy, Environment, and Transportation Policies",2024,1,5
"Energy, Environment, Economic Growth",2017,2,21
"Energy, Environment, Economic Growth",2019,1,8
"Energy, Environment, Economic Growth",2022,1,0
Engineering and Environmental Studies,2019,1,5
Engineering and Environmental Studies,2023,1,5
Engineering and Information Technology,2015,2,0
Engineering and Technology Innovations,2009,1,0
Engineering and Technology Innovations,2018,1,1
Engineering and Technology Innovations,2019,1,0
Engineering Applied Research,2014,1,9
Engineering Diagnostics and Reliability,2003,1,7
Engineering Education and Curriculum Development,2022,1,0
Engineering Education and Pedagogy,2012,1,0
Engineering Education and Pedagogy,2022,1,0
Engineering Structural Analysis Methods,2024,1,0
Engineering Technology and Methodologies,2023,1,0
Enhanced Oil Recovery Techniques,1973,1,0
Enhanced Oil Recovery Techniques,1990,1,3
Enhanced Oil Recovery Techniques,1991,1,7
Enhanced Oil Recovery Techniques,1995,1,0
Enhanced Oil Recovery Techniques,1999,1,15
Enhanced Oil Recovery Techniques,2002,3,18
Enhanced Oil Recovery Techniques,2005,2,8
Enhanced Oil Recovery Techniques,2007,2,112
Enhanced Oil Recovery Techniques,2008,3,264
Enhanced Oil Recovery Techniques,2009,5,105
Enhanced Oil Recovery Techniques,2010,10,169
Enhanced Oil Recovery Techniques,2011,16,468
Enhanced Oil Recovery Techniques,2012,4,45
Enhanced Oil Recovery Techniques,2013,8,120
Enhanced Oil Recovery Techniques,2014,32,741
Enhanced Oil Recovery Techniques,2015,31,2410
Enhanced Oil Recovery Techniques,2016,37,1173
Enhanced Oil Recovery Techniques,2017,53,2159
Enhanced Oil Recovery Techniques,2018,70,2046
Enhanced Oil Recovery Techniques,2019,86,2067
Enhanced Oil Recovery Techniques,2020,91,2354
Enhanced Oil Recovery Techniques,2021,100,4033
Enhanced Oil Recovery Techniques,2022,102,2006
Enhanced Oil Recovery Techniques,2023,124,1340
Enhanced Oil Recovery Techniques,2024,113,696
Enhanced Oil Recovery Techniques,2025,75,153
Enhanced Oil Recovery Techniques,2026,16,1
Enhanced Recovery After Surgery,2024,1,3
Entomological Studies and Ecology,2019,1,0
Environmental and Biological Research in Conflict Zones,2010,1,14
Environmental and Social Impact Assessments,2017,1,7
Environmental Chemistry and Analysis,1987,1,6
Environmental Chemistry and Analysis,1991,1,12
Environmental Chemistry and Analysis,2010,2,63
Environmental Chemistry and Analysis,2011,3,162
Environmental Chemistry and Analysis,2016,1,0
Environmental Chemistry and Analysis,2017,2,74
Environmental Chemistry and Analysis,2018,1,43
Environmental Chemistry and Analysis,2023,1,13
Environmental Chemistry and Analysis,2024,3,12
Environmental DNA in Biodiversity Studies,2020,1,2
Environmental DNA in Biodiversity Studies,2024,1,4
Environmental Engineering and Cultural Studies,2022,1,0
Environmental Engineering and Cultural Studies,2024,1,0
Environmental Impact and Sustainability,2005,1,1
Environmental Monitoring and Data Management,2015,2,0
Environmental Monitoring and Data Management,2025,1,0
Environmental Policies and Emissions,2020,1,14
Environmental remediation with nanomaterials,2010,1,18
Environmental remediation with nanomaterials,2011,1,70
Environmental remediation with nanomaterials,2014,1,70
Environmental remediation with nanomaterials,2019,2,53
Environmental remediation with nanomaterials,2020,1,37
Environmental remediation with nanomaterials,2021,1,65
Environmental remediation with nanomaterials,2022,2,16
Environmental remediation with nanomaterials,2024,3,9
Environmental remediation with nanomaterials,2026,1,0
Environmental Science and Water Management,1992,1,0
Environmental Science and Water Management,1999,1,16
Environmental Toxicology and Ecotoxicology,1992,1,42
Environmental Toxicology and Ecotoxicology,2015,1,21
Environmental Toxicology and Ecotoxicology,2018,1,17
Enzyme Catalysis and Immobilization,2022,1,8
Enzyme Catalysis and Immobilization,2024,1,1
Enzyme function and inhibition,2025,1,0
Enzyme Production and Characterization,2018,1,9
Enzyme Production and Characterization,2022,2,10
Enzyme Production and Characterization,2023,1,13
Enzyme Production and Characterization,2026,1,0
Enzyme Structure and Function,1989,1,0
Enzyme Structure and Function,2008,1,0
Enzyme Structure and Function,2014,1,38
Enzyme Structure and Function,2015,1,21
Enzyme Structure and Function,2025,1,5
Epilepsy research and treatment,2009,1,29
Epilepsy research and treatment,2018,1,99
Epilepsy research and treatment,2020,1,9
Epoxy Resin Curing Processes,2009,1,1
Erosion and Abrasive Machining,2023,1,0
ERP Systems Implementation and Impact,2005,1,0
ERP Systems Implementation and Impact,2010,1,0
Erythrocyte Function and Pathophysiology,2015,1,3
Esophageal and GI Pathology,2011,1,12
Essential Oils and Antimicrobial Activity,2018,1,3
European and International Law Studies,2000,1,0
European and International Law Studies,2009,1,0
Evacuation and Crowd Dynamics,2012,1,76
Evacuation and Crowd Dynamics,2013,1,2
Evacuation and Crowd Dynamics,2014,2,45
Evolution and Paleontology Studies,1984,1,21
Evolution and Paleontology Studies,1993,1,14
Evolution and Paleontology Studies,1997,2,291
Evolution and Paleontology Studies,1999,1,1
Evolution and Paleontology Studies,2005,2,4
Evolution and Paleontology Studies,2006,1,5
Evolution and Paleontology Studies,2009,2,28
Evolution and Paleontology Studies,2010,2,4
Evolution and Paleontology Studies,2011,1,7
Evolution and Paleontology Studies,2014,1,0
Evolution and Paleontology Studies,2018,1,1
Evolution and Paleontology Studies,2019,3,18
Evolution and Paleontology Studies,2020,1,6
Evolution and Paleontology Studies,2021,1,3
Evolution and Paleontology Studies,2023,1,0
Evolution and Paleontology Studies,2024,1,0
